City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,94.53,58,23,1.01,few clouds
1,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,58,16.44,light rain
2,Nikolskoye,RU,59.7035,30.7861,75.09,62,0,2.73,clear sky
3,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,5.75,broken clouds
4,Lisakovsk,KZ,52.5369,62.4936,63.86,60,39,7.45,scattered clouds
5,Thompson,CA,55.7435,-97.8558,62.76,88,75,8.05,broken clouds
6,Srednekolymsk,RU,67.45,153.6833,41.63,53,16,5.5,few clouds
7,Busselton,AU,-33.65,115.3333,57.72,77,68,12.41,broken clouds
8,Ilulissat,GL,69.2167,-51.1,57.22,54,75,6.91,broken clouds
9,Coxim,BR,-18.5067,-54.76,95.38,17,75,8.75,broken clouds
10,Baykalsk,RU,51.5058,104.1469,54.12,84,100,1.3,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,31.66,86,40,25.32,shower snow
12,Hermanus,ZA,-34.4187,19.2345,47.8,75,48,2.39,scattered clouds
13,Kapaa,US,22.0752,-159.319,80.19,80,40,16.11,scattered clouds
14,Victoria,HK,22.2855,114.1577,86.38,75,0,3.0,clear sky
15,Tiksi,RU,71.6872,128.8694,41.0,84,43,10.63,scattered clouds
16,Vaini,TO,-21.2,-175.2,73.96,75,5,9.26,clear sky
17,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,20,16.11,few clouds
18,Mataura,NZ,-46.1927,168.8643,38.48,96,100,1.59,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,74.55,73,36,12.15,scattered clouds
20,Awbari,LY,26.5921,12.7805,94.44,14,0,8.68,clear sky
21,Jiexiu,CN,37.0244,111.9125,76.62,47,61,4.43,broken clouds
22,Barrow,US,71.2906,-156.7887,44.62,76,0,24.16,clear sky
23,Chuy,UY,-33.6971,-53.4616,62.24,84,100,10.22,light rain
24,Kavieng,PG,-2.5744,150.7967,81.0,80,100,10.04,light rain
25,Bluff,NZ,-46.6,168.3333,38.8,82,97,9.24,overcast clouds
26,Mae Ramat,TH,16.984,98.5166,77.79,98,100,2.28,moderate rain
27,Bredasdorp,ZA,-34.5322,20.0403,49.24,86,30,1.3,scattered clouds
28,Guerrero Negro,MX,27.9769,-114.0611,75.16,62,61,14.72,broken clouds
29,Cape Town,ZA,-33.9258,18.4232,57.27,79,0,5.75,clear sky
30,Vallenar,CL,-28.5708,-70.7581,62.56,67,25,2.91,scattered clouds
31,Cairns,AU,-16.9167,145.7667,69.06,91,19,5.1,few clouds
32,Shingu,JP,33.7333,135.9833,77.77,94,64,3.49,broken clouds
33,Maltahohe,NA,-24.8333,16.9833,61.23,24,0,6.6,clear sky
34,Qaanaaq,GL,77.484,-69.3632,45.9,70,100,4.88,overcast clouds
35,Bandarbeyla,SO,9.4942,50.8122,76.23,80,98,31.72,overcast clouds
36,Ribeira Grande,PT,38.5167,-28.7,77.4,78,40,8.05,scattered clouds
37,Katsuura,JP,35.1333,140.3,77.9,93,100,12.44,overcast clouds
38,Hithadhoo,MV,-0.6,73.0833,81.07,73,100,5.21,moderate rain
39,Sovetskiy,RU,61.3614,63.5842,57.97,55,40,3.24,scattered clouds
40,Camacha,PT,33.0833,-16.3333,69.22,68,75,16.11,broken clouds
41,Dingle,PH,10.9995,122.6711,77.85,91,100,5.08,overcast clouds
42,Beringovskiy,RU,63.05,179.3167,45.36,72,99,10.98,overcast clouds
43,Xuanhua,CN,40.6103,115.0447,74.16,66,64,6.85,broken clouds
44,Saint-Pierre,RE,-21.3393,55.4781,67.68,75,0,9.22,clear sky
45,Pontianak,ID,-0.0333,109.3333,76.98,94,40,1.14,scattered clouds
46,Talnakh,RU,69.4865,88.3972,52.21,87,24,7.36,light rain
47,Jamestown,US,42.097,-79.2353,80.53,65,75,17.27,broken clouds
48,Chapais,CA,49.7834,-74.8492,69.58,81,58,14.74,broken clouds
49,Hasaki,JP,35.7333,140.8333,79.29,91,100,12.93,overcast clouds
50,Namatanai,PG,-3.6667,152.4333,78.73,81,37,5.99,light rain
51,Houma,US,29.5958,-90.7195,95.0,65,40,8.05,scattered clouds
52,Kaitangata,NZ,-46.2817,169.8464,43.03,90,99,4.21,overcast clouds
53,Nhulunbuy,AU,-12.2333,136.7667,71.08,59,57,12.8,broken clouds
54,Trairi,BR,-3.2778,-39.2689,82.98,65,98,11.48,overcast clouds
55,Staraya Poltavka,RU,50.4772,46.4814,67.44,55,50,5.23,scattered clouds
56,Smithers,CA,54.7804,-127.1743,62.92,55,40,8.05,scattered clouds
57,Ahipara,NZ,-35.1667,173.1667,54.03,85,82,7.2,broken clouds
58,Kingsland,US,30.8,-81.6898,90.93,71,7,5.97,clear sky
59,Poddorye,RU,57.4695,31.1156,70.05,75,82,4.03,broken clouds
60,Zaykovo,RU,57.5613,62.7568,58.14,97,99,6.8,overcast clouds
61,Cidreira,BR,-30.1811,-50.2056,72.45,71,97,1.68,overcast clouds
62,Saint Anthony,US,45.0205,-93.218,83.88,40,0,20.71,clear sky
63,Yellowknife,CA,62.456,-114.3525,64.92,48,20,6.91,few clouds
64,Sorong,ID,-0.8833,131.25,78.01,88,88,8.75,overcast clouds
65,Nakamura,JP,32.9833,132.9333,76.91,92,26,4.14,scattered clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,56.08,54,0,14.0,clear sky
67,Scarborough,GB,54.2797,-0.4044,64.78,75,90,3.0,overcast clouds
68,Grindavik,IS,63.8424,-22.4338,57.15,87,75,9.22,broken clouds
69,Carnarvon,AU,-24.8667,113.6333,65.59,68,68,16.73,broken clouds
70,Lima,PE,-12.0432,-77.0282,66.9,72,100,6.91,overcast clouds
71,Naron,ES,43.5167,-8.1528,74.55,78,43,17.58,scattered clouds
72,Makakilo City,US,21.3469,-158.0858,74.68,85,100,6.91,light rain
73,Bethel,US,41.3712,-73.414,93.36,67,40,9.22,scattered clouds
74,Dikson,RU,73.5069,80.5464,42.85,89,100,22.68,light rain
75,Klaksvik,FO,62.2266,-6.589,50.92,82,43,10.6,scattered clouds
76,Rovaniemi,FI,66.5,25.7167,71.01,60,97,9.22,light intensity shower rain
77,Hobart,AU,-42.8794,147.3294,39.06,92,0,1.99,clear sky
78,East London,ZA,-33.0153,27.9116,62.56,64,2,7.65,clear sky
79,Avarua,CK,-21.2078,-159.775,73.45,68,40,12.66,scattered clouds
80,Sola,VU,-13.8833,167.55,80.6,79,11,18.9,few clouds
81,Codrington,AU,-38.2667,141.9667,47.01,85,17,12.24,few clouds
82,Namtsy,RU,62.7161,129.6658,68.38,76,54,2.51,broken clouds
83,Araci,BR,-11.3333,-38.9667,81.59,44,94,7.4,overcast clouds
84,Maceio,BR,-9.6658,-35.7353,83.64,65,75,14.97,broken clouds
85,Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,27.63,few clouds
86,Rosarito,MX,32.3333,-117.0333,83.41,61,100,9.6,overcast clouds
87,Namibe,AO,-15.1961,12.1522,64.47,81,0,5.32,clear sky
88,Faya,SA,18.3851,42.4509,69.91,53,96,5.93,overcast clouds
89,Port Keats,AU,-14.25,129.55,67.51,32,20,8.01,few clouds
90,Saskylakh,RU,71.9167,114.0833,48.24,73,99,11.21,overcast clouds
91,Nanortalik,GL,60.1432,-45.2371,52.23,73,6,14.2,clear sky
92,Esperance,AU,-33.8667,121.9,53.44,72,63,18.45,broken clouds
93,Nokaneng,BW,-19.6667,22.2667,69.55,35,90,11.21,overcast clouds
94,Valparaiso,CL,-33.0393,-71.6273,57.43,82,20,6.91,haze
95,Veraval,IN,20.9,70.3667,82.0,80,100,15.12,overcast clouds
